,university,career,inscription_date,gender,location,email,first_name,last_name,age,postal_code
0, universidad abierta interamericana,licenciatura en producción de bioimagenes,2021-01-21,male,barra bonita,millerrandall@gmail.com,tyrone,roberts,18,3357
1, universidad abierta interamericana,medicina,2021-10-20,male,betbeder,wjohnson@yahoo.com,david,wallace,0,3156
2, universidad abierta interamericana,farmacia,2020-12-20,male,alcorta,reedaustin@yahoo.com,brandon,carter,36,2117
3, universidad abierta interamericana,farmacia,2019-10-20,female,cañada seca,williamselizabeth@hotmail.com,jessica,patel,38,6105
4, universidad abierta interamericana,diseño de imagen y sonido,2020-12-20,male,berabevu,fgarza@yahoo.com,joshua,wheeler,45,2639
5, universidad abierta interamericana,licenciatura en sociología ,2021-12-20,female,lehmann,gwright@hotmail.com,latasha,houston,16,2305
6, universidad abierta interamericana,diseño industrial,2020-10-20,male,balneario los angeles,mmiles@hotmail.com,sean,lindsey,0,7641
7, universidad abierta interamericana,ingeniería electrónica,2021-11-20,female,9 de julio,craigjessica@yahoo.com,martha,garrett,0,6500
8, universidad abierta interamericana,licenciatura en ciencia política ,2021-12-20,male,aceilan,frenchsean@hotmail.com,jerry,russell,24,7003
9, universidad abierta interamericana,licenciatura en ciencia política ,2021-12-20,female,cangallo,melissaprice@gmail.com,deborah,hill,33,7153
10, universidad abierta interamericana,licenciatura en ciencias geológicas,2021-09-20,female,barrio don santiago,cynthiapalmer@gmail.com,regina,livingston,14,3304
11, universidad abierta interamericana,licenciatura en relaciones del trabajo ,2019-11-20,female,garin,fschneider@yahoo.com,jennifer,hernandez,42,1619
12, universidad abierta interamericana,actuario ,2021-11-20,male,30 de agosto,jessica92@yahoo.com,todd,walsh,0,6405
13, universidad abierta interamericana,licenciatura en ciencias ambientales,2021-11-20,female,ingeniero balbin,sarah46@hotmail.com,theresa,hall,18,6051
14, universidad abierta interamericana,licenciatura en relaciones del trabajo ,2019-10-20,male,arquedas,stevenfrost@yahoo.com,timothy,klein,0,8164
15, universidad abierta interamericana,agronomía,2019-11-20,male,colonia velez,ashepherd@yahoo.com,gregory,henry,23,2933
16, universidad abierta interamericana,ciencias veterinarias,2021-11-20,male,alejandro korn,bettycantrell@hotmail.com,john,martin,2,1864
17, universidad abierta interamericana,licenciatura en kinesiología y fisiatría,2021-09-20,male,catamontaña,fwaters@gmail.com,robert,wilson,19,4603
18, universidad abierta interamericana,licenciatura en administración ,2021-09-20,female,11 de mayo,gomezgabrielle@hotmail.com,beverly,yoder,0,5701
19, universidad abierta interamericana,bioquímica,2020-09-20,male,adolfo j pomar,brett13@hotmail.com,joshua,simpson,0,3337
20, universidad abierta interamericana,licenciatura en ciencias de la computación,2020-12-20,male,diego lopez,yjones@yahoo.com,tyler,rogers,43,3180
21, universidad abierta interamericana,ingeniería mecánica,2021-12-20,female,cañadon lagarto,zmoreno@gmail.com,natasha,lowe,24,9009
22, universidad abierta interamericana,licenciatura en musicoterapia,2019-12-20,female,colonia el simbol,lewisronald@yahoo.com,valerie,peters,22,3074
23, universidad abierta interamericana,agronomía,2021-01-21,male,colonia campo piaggio,hardingnicole@gmail.com,joseph,byrd,53,2252
24, universidad abierta interamericana,licenciatura en ciencia política ,2019-10-20,male,colonia belga americana,breyes@hotmail.com,christopher,carr,15,3244
25, universidad abierta interamericana,licenciatura en terapia ocupacional,2020-11-20,male,villa ruiz,jack55@gmail.com,clinton,herrera,5,6705
26, universidad abierta interamericana,licenciatura en musicoterapia,2021-01-21,male,9 de julio,john83@gmail.com,fred,pearson,3,6500
27, universidad abierta interamericana,licenciatura en sociología ,2021-11-20,female,cameron,adriennerobles@gmail.com,amanda,mullins,0,9017
28, universidad abierta interamericana,farmacia,2021-10-20,male,diego de alvear,bbender@gmail.com,roger,baker,19,6036
29, universidad abierta interamericana,licenciatura en ciencia política ,2021-10-20,male,alto lindo,burnettmatthew@yahoo.com,mathew,stone,8,5883
