university,career,inscription_date,last_name,gender,birth_date,postal_code,location,email
UNIV. NACIONAL DEL COMAHUE,DISEÑO INDUSTRIAL,2020-11-20,MICHELLE HARRIS,F,1917-10-13,7261,"8589 MERCADO GREEN SUITE 168
EAST DANIEL, NE 40513",MARTINEZJOHN@HOTMAIL.COM
UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS AMBIENTALES,2021-07-07,ALISON RIOS,F,1960-11-02,5471,"UNIT 5721 BOX 5771
DPO AE 93453",WILLIAMSLISA@HOTMAIL.COM
UNIV. NACIONAL DEL COMAHUE,CONTADOR PÚBLICO ,2020-10-31,AMANDA HILL,F,1990-04-08,8129,"UNIT 3240 BOX 5927
DPO AA 86799",TYLER57@HOTMAIL.COM
UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS AMBIENTALES,2020-09-04,JASON MONTES,M,1925-08-09,3194,"65107 KEVIN PINE APT. 485
MICHAELMOUTH, NC 51279",WBRYANT@HOTMAIL.COM
UNIV. NACIONAL DEL COMAHUE,AGRONOMÍA,2021-01-31,RYAN DAVIS,M,1934-12-23,3328,"04760 LEON CORNERS APT. 594
HARTFORT, IN 54452",PATRICIAZAMORA@GMAIL.COM
UNIV. NACIONAL DEL COMAHUE,CONTADOR PÚBLICO ,2019-10-28,CHRISTOPHER GONZALEZ,M,1969-05-15,3229,"68385 NATHANIEL RIVER
SOUTH TIFFANY, MD 27811",AJACKSON@YAHOO.COM
UNIV. NACIONAL DEL COMAHUE,DISEÑO INDUSTRIAL,2020-12-03,SANDRA BURTON,F,1970-02-12,4500,"76060 LINDSEY HARBORS SUITE 857
BROWNBOROUGH, OK 48737",KLEINLAUREN@GMAIL.COM
UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS GEOLÓGICAS,2020-11-24,REBEKAH GONZALES,F,1979-01-13,7609,"8768 COPELAND STREAM APT. 044
MEGANVILLE, OH 73473",MTERRY@YAHOO.COM
UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS DE LA COMPUTACIÓN,2020-01-02,VICTORIA SHARP,F,1936-05-09,1804,"42993 RODRIGUEZ FREEWAY SUITE 695
JAMESMOUTH, ID 26172",TYLER46@YAHOO.COM
UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN PSICOLOGÍA,2020-03-14,NICOLE TYLER,F,2003-11-03,6354,"42922 SIMS PLACE APT. 853
KELSEYHAVEN, NM 95286",JESSICA78@YAHOO.COM
