,university,career,inscription_date,name,gender,birth_date,location,email
0,-universidad-abierta-interamericana,Licenciatura-en-producción-de-bioimagenes,21/Jan/21,Tyrone-roberts,M,04/Jan/26,Barra-bonita,Millerrandall@gmail.com
1,-universidad-abierta-interamericana,Medicina,21/Oct/20,David-wallace,M,41/Jul/24,Betbeder,Wjohnson@yahoo.com
2,-universidad-abierta-interamericana,Farmacia,20/Dec/20,Brandon-carter,M,86/May/30,Alcorta,Reedaustin@yahoo.com
3,-universidad-abierta-interamericana,Farmacia,19/Oct/20,Jessica-patel,F,84/Sep/28,Cañada-seca,Williamselizabeth@hotmail.com
4,-universidad-abierta-interamericana,Diseño-de-imagen-y-sonido,20/Dec/20,Joshua-wheeler,M,76/Dec/12,Berabevu,Fgarza@yahoo.com
5,-universidad-abierta-interamericana,Licenciatura-en-sociología-,21/Dec/20,Latasha-houston,F,06/Apr/04,Lehmann,Gwright@hotmail.com
6,-universidad-abierta-interamericana,Diseño-industrial,20/Oct/20,Sean-lindsey,M,62/Aug/24,Balneario-los-angeles,Mmiles@hotmail.com
7,-universidad-abierta-interamericana,Ingeniería-electrónica,21/Nov/20,Martha-garrett,F,46/Mar/26,9-de-julio,Craigjessica@yahoo.com
8,-universidad-abierta-interamericana,Licenciatura-en-ciencia-política-,21/Dec/20,Jerry-russell,M,98/Jan/06,Aceilan,Frenchsean@hotmail.com
9,-universidad-abierta-interamericana,Licenciatura-en-ciencia-política-,21/Dec/20,Deborah-hill,F,89/Jul/04,Cangallo,Melissaprice@gmail.com
10,-universidad-abierta-interamericana,Licenciatura-en-ciencias-geológicas,21/Sep/20,Regina-livingston,F,08/Sep/27,Barrio-don-santiago,Cynthiapalmer@gmail.com
11,-universidad-abierta-interamericana,Licenciatura-en-relaciones-del-trabajo-,19/Nov/20,Jennifer-hernandez,F,79/Nov/14,Garin,Fschneider@yahoo.com
12,-universidad-abierta-interamericana,Actuario-,21/Nov/20,Todd-walsh,M,36/Jan/15,30-de-agosto,Jessica92@yahoo.com
13,-universidad-abierta-interamericana,Licenciatura-en-ciencias-ambientales,21/Nov/20,Theresa-hall,F,04/Feb/13,Ingeniero-balbin,Sarah46@hotmail.com
