,university,career,inscription_date,name,gender,birth_date,postal_code,email
0,Universidad nacional de la pampa,Licenciatura en musicoterapia,22/01/2021,Brett roberts,M,17/08/2000,3232,Deannalarson@hotmail.com
1,Universidad nacional de la pampa,Licenciatura en gestión de agroalimentos,14/01/2021,Mckenzie mclaughlin,F,20/12/2006,1629,Turnerjames@hotmail.com
2,Universidad nacional de la pampa,Ciencias veterinarias,26/01/2021,Bryan kane,M,22/09/2010,3252,Annaglass@yahoo.com
3,Universidad nacional de la pampa,Farmacia,29/12/2020,Chad richardson,M,31/03/1977,3185,Jacksonmichelle@hotmail.com
4,Universidad nacional de la pampa,Licenciatura en sociología ,03/09/2020,Cassandra odonnell,F,20/07/1955,7245,Jamesthompson@gmail.com
5,Universidad nacional de la pampa,Ingeniería en informática,20/11/2020,Jeffrey rivera,M,23/11/1919,8206,Kristaaustin@hotmail.com
6,Universidad nacional de la pampa,Ingeniería en informática,23/10/2020,Ann schmidt,F,20/09/1944,2255,Michael73@gmail.com
7,Universidad nacional de la pampa,Actuario ,28/09/2020,Gabrielle johnson,F,18/07/1997,3071,Ipage@hotmail.com
8,Universidad nacional de la pampa,Diseño de imagen y sonido,22/10/2020,Samuel tate,M,13/04/1927,2253,Gwoodard@gmail.com
9,Universidad nacional de la pampa,Contador público ,08/12/2020,Jamie henderson,F,26/04/1982,3220,Coxtanner@yahoo.com
10,Universidad nacional de la pampa,Licenciatura en ciencias de la educación ,13/09/2020,Mrs. lisa blair phd,F,11/10/1995,3085,Rjoyce@gmail.com
11,Universidad nacional de la pampa,Licenciatura en sociología ,18/11/2020,Steven hill,M,02/12/2012,2405,Littleronald@gmail.com
12,Universidad nacional de la pampa,Licenciatura en musicoterapia,19/10/2020,Michelle beasley,F,27/02/1938,3072,Leoncindy@gmail.com
13,Universidad nacional de la pampa,Arquitectura,12/11/2020,Shaun dunn,M,06/11/1907,5759,Ydavis@hotmail.com
14,Universidad nacional de la pampa,Licenciatura en ciencia política ,24/01/2021,Jamie martin,F,20/09/2012,6333,Anthony25@gmail.com
15,Universidad nacional de la pampa,Licenciatura en ciencias geológicas,09/12/2020,Logan clements,M,27/04/1937,9410,Beardpatrick@yahoo.com
16,Universidad nacional de la pampa,Ingeniería mecánica,17/01/2021,Carol myers,F,05/04/2002,2747,Brownjason@yahoo.com
17,Universidad nacional de la pampa,Ingeniería electrónica,27/10/2020,Shannon wilson,F,20/11/1923,6303,Darlene98@gmail.com
18,Universidad nacional de la pampa,Licenciatura en kinesiología y fisiatría,10/10/2020,Chris bennett,M,17/03/1930,3122,Hlewis@yahoo.com
19,Universidad nacional de la pampa,Licenciatura en producción de bioimagenes,28/11/2020,Ethan lewis,M,08/12/1911,3374,Eric54@gmail.com
20,Universidad nacional de la pampa,Diseño industrial,25/01/2021,Mr. william snow,M,27/03/2006,5501,Ajones@hotmail.com
21,Universidad nacional de la pampa,Licenciatura en ciencias ambientales,10/12/2020,Anna steele dvm,F,19/05/1954,6309,Micheal44@yahoo.com
22,Universidad nacional de la pampa,Licenciatura en sociología ,24/09/2020,Ian flores,M,25/10/2014,1822,Eric92@hotmail.com
23,Universidad nacional de la pampa,Licenciatura en ciencias biológicas,20/10/2020,Stephanie miller,F,25/11/2011,1688,Znunez@yahoo.com
